Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
R6GD Eight Extra Large,r6gd.8xlarge,"630,376.256",Memory optimized,151.0 fps,256 GiB,32 vCPUs,1900 GB NVMe SSD,12 Gigabit,$1.8432 hourly,$1.1612 hourly,$0.6063 hourly,,
R6GD Large,r6gd.large,"39,110.879",Memory optimized,13.0 fps,16 GiB,2 vCPUs,118 GB NVMe SSD,Up to 10 Gigabit,$0.1152 hourly,$0.0726 hourly,$0.0459 hourly,,
R6GD Medium,r6gd.medium,"19,801.98",Memory optimized,6.8 fps,8 GiB,1 vCPUs,59 GB NVMe SSD,Up to 10 Gigabit,$0.0576 hourly,$0.0363 hourly,$0.0197 hourly,,
R6GD Metal,r6gd.metal,"1,302,489.655",Memory optimized,178.0 fps,512 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$3.6864 hourly,$2.3224 hourly,$1.0111 hourly,,
R6GD Extra Large,r6gd.xlarge,"80,488.296",Memory optimized,25.0 fps,32 GiB,4 vCPUs,237 GB NVMe SSD,Up to 10 Gigabit,$0.2304 hourly,$0.1452 hourly,$0.1338 hourly,,
R6I 12xlarge Extra Large,r6i.12xlarge,"845,256.438",Memory optimized,218.0 fps,384 GiB,48 vCPUs,EBS only,18.75 Gigabit,$3.024 hourly,$2.0004 hourly,$0.8581 hourly,$5.232 hourly,$2.0004 hourly
R6I 16xlarge Extra Large,r6i.16xlarge,"1,080,077.631",Memory optimized,187.0 fps,512 GiB,64 vCPUs,EBS only,25 Gigabit,$4.032 hourly,$2.6672 hourly,$1.0517 hourly,$6.976 hourly,$2.6672 hourly
R6I 24xlarge,r6i.24xlarge,"1,705,908.485",Memory optimized,239.0 fps,768 GiB,96 vCPUs,EBS only,37.5 Gigabit,$6.048 hourly,$4.0008 hourly,$1.7182 hourly,$10.464 hourly,$4.0008 hourly
R6I Double Extra Large,r6i.2xlarge,"136,693.721",Memory optimized,55.0 fps,64 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.504 hourly,$0.3334 hourly,$0.2219 hourly,$0.872 hourly,$0.3334 hourly
R6I 32xlarge,r6i.32xlarge,"2,279,100.824",Memory optimized,222.0 fps,1024 GiB,128 vCPUs,EBS only,50 Gigabit,$8.064 hourly,$5.3343 hourly,$2.2526 hourly,$13.952 hourly,$5.3343 hourly
R6I Quadruple Extra Large,r6i.4xlarge,"267,524.976",Memory optimized,107.0 fps,128 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$1.008 hourly,$0.6668 hourly,$0.4009 hourly,$1.744 hourly,$1.4028 hourly
R6I Eight Extra Large,r6i.8xlarge,"547,219.016",Memory optimized,184.0 fps,256 GiB,32 vCPUs,EBS only,12.5 Gigabit,$2.016 hourly,$1.3336 hourly,$0.6094 hourly,$3.488 hourly,$1.3336 hourly
R6I Large,r6i.large,"36,253.776",Memory optimized,11.0 fps,16 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.126 hourly,$0.0834 hourly,$0.0396 hourly,$0.218 hourly,$0.1754 hourly
R6I Metal,r6i.metal,"2,266,389.27",Memory optimized,145.0 fps,1024 GiB,128 vCPUs,EBS only,50 Gigabit,$8.064 hourly,$5.3343 hourly,$2.2573 hourly,$13.952 hourly,$11.2223 hourly
R6I Extra Large,r6i.xlarge,"66,126.633",Memory optimized,28.0 fps,32 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.252 hourly,$0.1667 hourly,$0.1135 hourly,$0.436 hourly,$0.1667 hourly
R6ID 12xlarge Extra Large,r6id.12xlarge,,Memory optimized,,384 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),18.75 Gigabit,$3.6288 hourly,$2.2806 hourly,$1.2414 hourly,$5.8368 hourly,$2.2806 hourly
R6ID 16xlarge Extra Large,r6id.16xlarge,,Memory optimized,,512 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$4.8384 hourly,$3.0408 hourly,$1.2531 hourly,$7.7824 hourly,$5.9848 hourly
R6ID 24xlarge,r6id.24xlarge,,Memory optimized,,768 GiB,96 vCPUs,5700 GB (4×1425 GB NVMe SSD),37.5 Gigabit,$7.2576 hourly,$4.5612 hourly,$2.2958 hourly,$11.6736 hourly,$8.9772 hourly
R6ID Double Extra Large,r6id.2xlarge,,Memory optimized,,64 GiB,8 vCPUs,474 GB NVMe SSD,Up to 12.5 Gigabit,$0.6048 hourly,$0.3801 hourly,$0.1955 hourly,$0.9728 hourly,$0.3801 hourly
R6ID 32xlarge,r6id.32xlarge,,Memory optimized,,1024 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$9.6768 hourly,$6.0816 hourly,$2.7641 hourly,$15.5648 hourly,$11.9696 hourly
R6ID Quadruple Extra Large,r6id.4xlarge,,Memory optimized,,128 GiB,16 vCPUs,950 GB NVMe SSD,Up to 12.5 Gigabit,$1.2096 hourly,$0.7602 hourly,$0.5436 hourly,$1.9456 hourly,$1.4962 hourly
R6ID Eight Extra Large,r6id.8xlarge,,Memory optimized,,256 GiB,32 vCPUs,1900 GB NVMe SSD,12.5 Gigabit,$2.4192 hourly,$1.5204 hourly,$1.0434 hourly,$3.8912 hourly,$2.9924 hourly
R6ID Large,r6id.large,,Memory optimized,,16 GiB,2 vCPUs,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1512 hourly,$0.095 hourly,$0.0572 hourly,$0.2432 hourly,$0.095 hourly
R6ID Metal,r6id.metal,,Memory optimized,,1024 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$9.6768 hourly,$6.0816 hourly,$2.747 hourly,$15.5648 hourly,$6.0816 hourly
R6ID Extra Large,r6id.xlarge,,Memory optimized,,32 GiB,4 vCPUs,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.3024 hourly,$0.1901 hourly,$0.1336 hourly,$0.4864 hourly,$0.1901 hourly
R6IDN 12xlarge Extra Large,r6idn.12xlarge,,Memory optimized,,384 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),75 Gigabit,$4.6894 hourly,$2.9543 hourly,$1.5804 hourly,$6.8974 hourly,$5.1623 hourly
R6IDN 16xlarge Extra Large,r6idn.16xlarge,,Memory optimized,,512 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$6.2525 hourly,$3.9391 hourly,$1.6094 hourly,$9.1965 hourly,$6.8831 hourly
R6IDN 24xlarge,r6idn.24xlarge,,Memory optimized,,768 GiB,96 vCPUs,5700 GB (4×1425 GB NVMe SSD),150 Gigabit,$9.3787 hourly,$5.9086 hourly,$2.8665 hourly,$13.7947 hourly,$5.9086 hourly
R6IDN Double Extra Large,r6idn.2xlarge,,Memory optimized,,64 GiB,8 vCPUs,474 GB NVMe SSD,Up to 40 Gigabit,$0.7816 hourly,$0.4924 hourly,$0.3523 hourly,$1.1496 hourly,$0.8604 hourly
R6IDN 32xlarge,r6idn.32xlarge,,Memory optimized,,1024 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),200 Gigabit,$12.505 hourly,$7.8781 hourly,$3.6431 hourly,$18.393 hourly,$7.8781 hourly
R6IDN Quadruple Extra Large,r6idn.4xlarge,,Memory optimized,,128 GiB,16 vCPUs,950 GB NVMe SSD,Up to 50 Gigabit,$1.5631 hourly,$0.9848 hourly,$0.6696 hourly,$2.2991 hourly,$0.9848 hourly
R6IDN Eight Extra Large,r6idn.8xlarge,,Memory optimized,,256 GiB,32 vCPUs,1900 GB NVMe SSD,50 Gigabit,$3.1262 hourly,$1.9695 hourly,$0.9371 hourly,$4.5982 hourly,$3.4415 hourly
R6IDN Large,r6idn.large,,Memory optimized,,16 GiB,2 vCPUs,118 GB NVMe SSD,Up to 25 Gigabit,$0.1954 hourly,$0.1231 hourly,$0.0626 hourly,$0.2874 hourly,$0.2151 hourly
R6IDN Metal,r6idn.metal,,Memory optimized,,1024 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),200 Gigabit,$12.505 hourly,$7.8781 hourly,$2.1382 hourly,$18.393 hourly,$7.8781 hourly
R6IDN Extra Large,r6idn.xlarge,,Memory optimized,,32 GiB,4 vCPUs,237 GB NVMe SSD,Up to 30 Gigabit,$0.3908 hourly,$0.2462 hourly,$0.1796 hourly,$0.5748 hourly,$0.4302 hourly
R6IN 12xlarge Extra Large,r6in.12xlarge,,Memory optimized,,384 GiB,48 vCPUs,EBS only,75 Gigabit,$4.1839 hourly,$2.6359 hourly,$1.3499 hourly,$6.3919 hourly,$2.6359 hourly
R6IN 16xlarge Extra Large,r6in.16xlarge,,Memory optimized,,512 GiB,64 vCPUs,EBS only,100 Gigabit,$5.5786 hourly,$3.5145 hourly,$1.0745 hourly,$8.5226 hourly,$3.5145 hourly
R6IN 24xlarge,r6in.24xlarge,,Memory optimized,,768 GiB,96 vCPUs,EBS only,150 Gigabit,$8.3678 hourly,$5.2717 hourly,$2.3831 hourly,$12.7838 hourly,$5.2717 hourly
R6IN Double Extra Large,r6in.2xlarge,,Memory optimized,,64 GiB,8 vCPUs,EBS only,Up to 40 Gigabit,$0.6973 hourly,$0.4393 hourly,$0.2928 hourly,$1.0653 hourly,$0.8073 hourly
R6IN 32xlarge,r6in.32xlarge,,Memory optimized,,1024 GiB,128 vCPUs,EBS only,200 Gigabit,$11.1571 hourly,$7.029 hourly,$2.9012 hourly,$17.0451 hourly,$12.917 hourly
R6IN Quadruple Extra Large,r6in.4xlarge,,Memory optimized,,128 GiB,16 vCPUs,EBS only,Up to 50 Gigabit,$1.3946 hourly,$0.8786 hourly,$0.5767 hourly,$2.1306 hourly,$1.6146 hourly
R6IN Eight Extra Large,r6in.8xlarge,,Memory optimized,,256 GiB,32 vCPUs,EBS only,50 Gigabit,$2.7893 hourly,$1.7573 hourly,$0.7795 hourly,$4.2613 hourly,$3.2293 hourly
R6IN Large,r6in.large,,Memory optimized,,16 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.1743 hourly,$0.1098 hourly,$0.0399 hourly,$0.2663 hourly,$0.1098 hourly
R6IN Metal,r6in.metal,,Memory optimized,,1024 GiB,128 vCPUs,EBS only,200 Gigabit,$11.1571 hourly,$7.029 hourly,$1.2863 hourly,$17.0451 hourly,$12.917 hourly
R6IN Extra Large,r6in.xlarge,,Memory optimized,,32 GiB,4 vCPUs,EBS only,Up to 30 Gigabit,$0.3487 hourly,$0.2197 hourly,$0.159 hourly,$0.5327 hourly,$0.2197 hourly
R7A 12xlarge Extra Large,r7a.12xlarge,"1,627,394.474",Memory optimized,315.0 fps,384 GiB,48 vCPUs,EBS only,18.75 Gigabit,$3.6516 hourly,$2.4155 hourly,$0.9566 hourly,$5.8596 hourly,$4.6235 hourly
R7A 16xlarge Extra Large,r7a.16xlarge,"1,992,631.415",Memory optimized,309.0 fps,512 GiB,64 vCPUs,EBS only,25 Gigabit,$4.8688 hourly,$3.2207 hourly,$0.6732 hourly,$7.8128 hourly,$6.1647 hourly
R7A 24xlarge,r7a.24xlarge,"2,791,373.879",Memory optimized,308.0 fps,768 GiB,96 vCPUs,EBS only,37.5 Gigabit,$7.3032 hourly,$4.8311 hourly,$1.5351 hourly,$11.7192 hourly,$9.2471 hourly
R7A Double Extra Large,r7a.2xlarge,"255,699.979",Memory optimized,104.0 fps,64 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.6086 hourly,$0.4026 hourly,$0.2341 hourly,$0.9766 hourly,$0.7706 hourly
R7A 32xlarge,r7a.32xlarge,"4,237,708.989",Memory optimized,310.0 fps,1024 GiB,128 vCPUs,EBS only,50 Gigabit,$9.7376 hourly,$6.4414 hourly,$1.4242 hourly,$15.6256 hourly,$12.3294 hourly
R7A 48xlarge,r7a.48xlarge,"5,477,107.403",Memory optimized,305.0 fps,1536 GiB,192 vCPUs,EBS only,50 Gigabit,$14.6064 hourly,$9.6621 hourly,$2.0726 hourly,$23.4384 hourly,$18.4941 hourly
R7A Quadruple Extra Large,r7a.4xlarge,"513,506.285",Memory optimized,178.0 fps,128 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$1.2172 hourly,$0.8052 hourly,$0.3703 hourly,$1.9532 hourly,$1.5412 hourly
R7A Eight Extra Large,r7a.8xlarge,"1,076,112.543",Memory optimized,284.0 fps,256 GiB,32 vCPUs,EBS only,12.5 Gigabit,$2.4344 hourly,$1.6104 hourly,$0.4351 hourly,$3.9064 hourly,$3.0824 hourly
R7A Large,r7a.large,"65,782.261",Memory optimized,27.0 fps,16 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1522 hourly,$0.1007 hourly,$0.0472 hourly,$0.2442 hourly,$0.1927 hourly
R7A Medium,r7a.medium,"35,377.358",Memory optimized,15.0 fps,8 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0761 hourly,$0.0503 hourly,$0.0248 hourly,$0.1221 hourly,$0.0963 hourly
R7A Metal-48xl,r7a.metal-48xl,"6,200,215.285",Memory optimized,293.0 fps,1536 GiB,192 vCPUs,EBS only,50 Gigabit,$14.6064 hourly,$9.6621 hourly,$2.2536 hourly,$23.4384 hourly,$18.4941 hourly
R7A Extra Large,r7a.xlarge,"136,892.539",Memory optimized,55.0 fps,32 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.3043 hourly,$0.2013 hourly,$0.0898 hourly,$0.4883 hourly,$0.3853 hourly
R7G 12xlarge Extra Large,r7g.12xlarge,"1,184,600.197",Memory optimized,239.0 fps,384 GiB,48 vCPUs,EBS only,22.5 Gigabit,$2.5704 hourly,$1.7003 hourly,$0.5349 hourly,,
R7G 16xlarge Extra Large,r7g.16xlarge,"1,652,572.461",Memory optimized,223.0 fps,512 GiB,64 vCPUs,EBS only,30 Gigabit,$3.4272 hourly,$2.2671 hourly,$0.5428 hourly,,
R7G Double Extra Large,r7g.2xlarge,"196,963.48",Memory optimized,72.0 fps,64 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,$0.4284 hourly,$0.2834 hourly,$0.1644 hourly,,
R7G Quadruple Extra Large,r7g.4xlarge,"411,073.287",Memory optimized,132.0 fps,128 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,$0.8568 hourly,$0.5668 hourly,$0.284 hourly,,
R7G Eight Extra Large,r7g.8xlarge,"833,767.587",Memory optimized,206.0 fps,256 GiB,32 vCPUs,EBS only,15 Gigabit,$1.7136 hourly,$1.1335 hourly,$0.4483 hourly,,
R7G Large,r7g.large,"49,239.86",Memory optimized,19.0 fps,16 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1071 hourly,$0.0708 hourly,$0.0317 hourly,,
R7G Medium,r7g.medium,"26,471.367",Memory optimized,10.0 fps,8 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0536 hourly,$0.0354 hourly,$0.0155 hourly,,
R7G Metal,r7g.metal,"1,531,008.911",Memory optimized,245.0 fps,512 GiB,64 vCPUs,EBS only,30 Gigabit,$3.4272 hourly,$2.2671 hourly,$0.9182 hourly,,
R7G Extra Large,r7g.xlarge,"102,570.678",Memory optimized,38.0 fps,32 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2142 hourly,$0.1417 hourly,$0.0612 hourly,,
R7GD 12xlarge Extra Large,r7gd.12xlarge,"1,239,589.386",Memory optimized,239.0 fps,384 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),22.5 Gigabit,$3.2659 hourly,$2.0525 hourly,$0.8566 hourly,,
R7GD 16xlarge Extra Large,r7gd.16xlarge,"1,587,695.361",Memory optimized,242.0 fps,512 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$4.3546 hourly,$2.7367 hourly,$1.0667 hourly,,
R7GD Double Extra Large,r7gd.2xlarge,"203,977.562",Memory optimized,73.0 fps,64 GiB,8 vCPUs,474 GB NVMe SSD,Up to 15 Gigabit,$0.5443 hourly,$0.3421 hourly,$0.2228 hourly,,
R7GD Quadruple Extra Large,r7gd.4xlarge,"401,782.912",Memory optimized,133.0 fps,128 GiB,16 vCPUs,950 GB NVMe SSD,Up to 15 Gigabit,$1.0886 hourly,$0.6842 hourly,$0.4772 hourly,,
R7GD Eight Extra Large,r7gd.8xlarge,"817,891.374",Memory optimized,208.0 fps,256 GiB,32 vCPUs,1900 GB NVMe SSD,15 Gigabit,$2.1773 hourly,$1.3684 hourly,$0.6864 hourly,,
R7GD Large,r7gd.large,"52,160.306",Memory optimized,19.0 fps,16 GiB,2 vCPUs,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1361 hourly,$0.0855 hourly,$0.0464 hourly,,
R7GD Medium,r7gd.medium,"25,953.802",Memory optimized,10.0 fps,8 GiB,1 vCPUs,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.068 hourly,$0.0428 hourly,$0.0194 hourly,,
R7GD Metal,r7gd.metal,"1,648,316.271",Memory optimized,245.0 fps,512 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$4.3546 hourly,$2.7367 hourly,$1.1454 hourly,,
R7GD Extra Large,r7gd.xlarge,"96,354.585",Memory optimized,38.0 fps,32 GiB,4 vCPUs,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.2722 hourly,$0.171 hourly,$0.1203 hourly,,
R7I 12xlarge Extra Large,r7i.12xlarge,"1,058,395.502",Memory optimized,232.0 fps,384 GiB,48 vCPUs,EBS only,18.75 Gigabit,$3.1752 hourly,$2.1004 hourly,$0.8746 hourly,$5.3832 hourly,$4.3084 hourly
R7I 16xlarge Extra Large,r7i.16xlarge,"1,431,874.114",Memory optimized,235.0 fps,512 GiB,64 vCPUs,EBS only,25 Gigabit,$4.2336 hourly,$2.8005 hourly,$0.9793 hourly,$7.1776 hourly,$5.7445 hourly
R7I 24xlarge,r7i.24xlarge,"1,947,327.496",Memory optimized,258.0 fps,768 GiB,96 vCPUs,EBS only,37.5 Gigabit,$6.3504 hourly,$4.2008 hourly,$1.6511 hourly,$10.7664 hourly,$8.6168 hourly
R7I Double Extra Large,r7i.2xlarge,"187,214.79",Memory optimized,65.0 fps,64 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.5292 hourly,$0.3501 hourly,$0.2134 hourly,$0.8972 hourly,$0.7181 hourly
R7I 48xlarge,r7i.48xlarge,"3,921,435.136",Memory optimized,269.0 fps,1536 GiB,192 vCPUs,EBS only,50 Gigabit,$12.7008 hourly,$8.4016 hourly,$3.4458 hourly,$21.5328 hourly,$17.2336 hourly
R7I Quadruple Extra Large,r7i.4xlarge,"374,035.689",Memory optimized,129.0 fps,128 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$1.0584 hourly,$0.7001 hourly,$0.3571 hourly,$1.7944 hourly,$1.4361 hourly
R7I Eight Extra Large,r7i.8xlarge,"763,358.779",Memory optimized,218.0 fps,256 GiB,32 vCPUs,EBS only,12.5 Gigabit,$2.1168 hourly,$1.4003 hourly,$0.5483 hourly,$3.5888 hourly,$2.8723 hourly
R7I Large,r7i.large,"48,385.146",Memory optimized,17.0 fps,16 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1323 hourly,$0.0875 hourly,$0.0401 hourly,$0.2243 hourly,$0.1795 hourly
R7I Metal-24xl,r7i.metal-24xl,"2,100,043.751",Memory optimized,270.0 fps,768 GiB,96 vCPUs,EBS only,37.5 Gigabit,$6.3504 hourly,$4.2008 hourly,$1.3398 hourly,$10.7664 hourly,$8.6168 hourly
R7I Metal-48xl,r7i.metal-48xl,"3,999,722.242",Memory optimized,311.0 fps,1536 GiB,192 vCPUs,EBS only,50 Gigabit,$12.7008 hourly,$8.4016 hourly,$1.7902 hourly,$21.5328 hourly,$17.2336 hourly
R7I Extra Large,r7i.xlarge,"95,166.343",Memory optimized,35.0 fps,32 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2646 hourly,$0.175 hourly,$0.0841 hourly,$0.4486 hourly,$0.359 hourly
R7IZ 12xlarge Extra Large,r7iz.12xlarge,,Memory optimized,,384 GiB,48 vCPUs,EBS only,25 Gigabit,$4.464 hourly,$2.8123 hourly,$1.3577 hourly,$6.672 hourly,$5.0203 hourly
R7IZ 16xlarge Extra Large,r7iz.16xlarge,,Memory optimized,,512 GiB,64 vCPUs,EBS only,25 Gigabit,$5.952 hourly,$3.7498 hourly,$1.3272 hourly,$8.896 hourly,$6.6938 hourly
R7IZ Double Extra Large,r7iz.2xlarge,,Memory optimized,,64 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.744 hourly,$0.4687 hourly,$0.355 hourly,$1.112 hourly,$0.8367 hourly
R7IZ 32xlarge,r7iz.32xlarge,,Memory optimized,,1024 GiB,128 vCPUs,EBS only,50 Gigabit,$11.904 hourly,$7.4995 hourly,$3.3679 hourly,$17.792 hourly,$13.3875 hourly
R7IZ Quadruple Extra Large,r7iz.4xlarge,,Memory optimized,,128 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$1.488 hourly,$0.9374 hourly,$0.5895 hourly,$2.224 hourly,$1.6734 hourly
R7IZ Eight Extra Large,r7iz.8xlarge,,Memory optimized,,256 GiB,32 vCPUs,EBS only,12.5 Gigabit,$2.976 hourly,$1.8749 hourly,$1.0377 hourly,$4.448 hourly,$3.3469 hourly
R7IZ Large,r7iz.large,,Memory optimized,,16 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.186 hourly,$0.1172 hourly,$0.0491 hourly,$0.278 hourly,$0.2092 hourly
R7IZ Metal-16xl,r7iz.metal-16xl,,Memory optimized,,512 GiB,64 vCPUs,EBS only,25 Gigabit,$5.952 hourly,$3.7498 hourly,$1.0195 hourly,$8.896 hourly,$6.6938 hourly
R7IZ Metal-32xl,r7iz.metal-32xl,,Memory optimized,,1024 GiB,128 vCPUs,EBS only,50 Gigabit,$11.904 hourly,$7.4995 hourly,$1.3108 hourly,$17.792 hourly,$13.3875 hourly
R7IZ Extra Large,r7iz.xlarge,,Memory optimized,,32 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.372 hourly,$0.2344 hourly,$0.1394 hourly,$0.556 hourly,$0.4184 hourly
R8A 12xlarge Extra Large,r8a.12xlarge,"2,242,323.863",Memory optimized,402.0 fps,384 GiB,48 vCPUs,EBS only,22.5 Gigabit,$3.8342 hourly,,$1.98 hourly,$6.0422 hourly,
R8A 16xlarge Extra Large,r8a.16xlarge,"2,858,767.157",Memory optimized,422.0 fps,512 GiB,64 vCPUs,EBS only,30 Gigabit,$5.1123 hourly,,$2.2537 hourly,$8.0563 hourly,
R8A 24xlarge,r8a.24xlarge,"3,843,494.086",Memory optimized,417.0 fps,768 GiB,96 vCPUs,EBS only,40 Gigabit,$7.6685 hourly,,$3.0702 hourly,$12.0845 hourly,
R8A Double Extra Large,r8a.2xlarge,"390,019.058",Memory optimized,136.0 fps,64 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,$0.639 hourly,,$0.2697 hourly,$1.007 hourly,
R8A 48xlarge,r8a.48xlarge,"7,250,506.368",Memory optimized,415.0 fps,1536 GiB,192 vCPUs,EBS only,75 Gigabit,$15.337 hourly,,$5.8823 hourly,$24.169 hourly,
R8A Quadruple Extra Large,r8a.4xlarge,"732,992.288",Memory optimized,227.0 fps,128 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,$1.2781 hourly,,$0.5451 hourly,$2.0141 hourly,
R8A Eight Extra Large,r8a.8xlarge,"1,530,501.326",Memory optimized,369.0 fps,256 GiB,32 vCPUs,EBS only,15 Gigabit,$2.5562 hourly,,$1.2895 hourly,$4.0282 hourly,
R8A Large,r8a.large,"90,096.854",Memory optimized,35.0 fps,16 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1598 hourly,,$0.056 hourly,$0.2518 hourly,
R8A Medium,r8a.medium,"44,859.813",Memory optimized,20.0 fps,8 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0799 hourly,,$0.0245 hourly,$0.1259 hourly,
R8A Metal-24xl,r8a.metal-24xl,"4,039,940.319",Memory optimized,434.0 fps,768 GiB,96 vCPUs,EBS only,40 Gigabit,$7.6685 hourly,,$1.1702 hourly,$12.0845 hourly,
R8A Metal-48xl,r8a.metal-48xl,"6,825,673.841",Memory optimized,425.0 fps,1536 GiB,192 vCPUs,EBS only,75 Gigabit,$15.337 hourly,,$2.3764 hourly,$24.169 hourly,
R8A Extra Large,r8a.xlarge,"190,682.557",Memory optimized,72.0 fps,32 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.3195 hourly,,$0.1391 hourly,$0.5035 hourly,
R8G 12xlarge Extra Large,r8g.12xlarge,"1,430,913.698",Memory optimized,291.0 fps,384 GiB,48 vCPUs,EBS only,22.5 Gigabit,$2.8277 hourly,$1.8705 hourly,$0.7386 hourly,,
R8G 16xlarge Extra Large,r8g.16xlarge,"2,040,490.993",Memory optimized,297.0 fps,512 GiB,64 vCPUs,EBS only,30 Gigabit,$3.7702 hourly,$2.494 hourly,$0.6515 hourly,,
R8G 24xlarge,r8g.24xlarge,"2,903,811.252",Memory optimized,297.0 fps,768 GiB,96 vCPUs,EBS only,40 Gigabit,$5.6554 hourly,$3.741 hourly,$0.8598 hourly,,
R8G Double Extra Large,r8g.2xlarge,"240,583.415",Memory optimized,88.0 fps,64 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,$0.4713 hourly,$0.3118 hourly,$0.195 hourly,,
R8G 48xlarge,r8g.48xlarge,"5,455,707.892",Memory optimized,277.0 fps,1536 GiB,192 vCPUs,EBS only,50 Gigabit,$11.3107 hourly,$7.482 hourly,$1.9216 hourly,,
R8G Quadruple Extra Large,r8g.4xlarge,"476,013.388",Memory optimized,157.0 fps,128 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,$0.9426 hourly,$0.6235 hourly,$0.2798 hourly,,
R8G Eight Extra Large,r8g.8xlarge,"961,033.111",Memory optimized,248.0 fps,256 GiB,32 vCPUs,EBS only,15 Gigabit,$1.8851 hourly,$1.247 hourly,$0.4264 hourly,,
R8G Large,r8g.large,"63,582.896",Memory optimized,22.0 fps,16 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1178 hourly,$0.0779 hourly,$0.0328 hourly,,
R8G Medium,r8g.medium,"30,926.241",Memory optimized,12.0 fps,8 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0589 hourly,$0.039 hourly,$0.0163 hourly,,
R8G Metal-24xl,r8g.metal-24xl,"2,969,837.587",Memory optimized,299.0 fps,768 GiB,96 vCPUs,EBS only,40 Gigabit,$5.6554 hourly,$3.741 hourly,$0.9757 hourly,,
R8G Metal-48xl,r8g.metal-48xl,"4,025,157.233",Memory optimized,281.0 fps,1536 GiB,192 vCPUs,EBS only,50 Gigabit,$11.3107 hourly,$7.482 hourly,$1.687 hourly,,
R8G Extra Large,r8g.xlarge,"122,100.122",Memory optimized,46.0 fps,32 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2356 hourly,$0.1559 hourly,$0.0994 hourly,,
R8GB 12xlarge Extra Large,r8gb.12xlarge,,Memory optimized,,384 GiB,48 vCPUs,EBS only,100 Gigabit,$4.3723 hourly,,$1.3503 hourly,,
R8GB 16xlarge Extra Large,r8gb.16xlarge,,Memory optimized,,512 GiB,64 vCPUs,EBS only,133.33 Gigabit,$5.8298 hourly,,$1.9026 hourly,,
