Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
M5N 24xlarge,m5n.24xlarge,,General purpose,,384 GiB,96 vCPUs,EBS only,100 Gigabit,$5.712 hourly,$3.599 hourly,$1.8308 hourly,$10.128 hourly,$8.015 hourly
M5N Double Extra Large,m5n.2xlarge,,General purpose,,32 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.476 hourly,$0.30 hourly,$0.2277 hourly,$0.844 hourly,$0.668 hourly
M5N Quadruple Extra Large,m5n.4xlarge,,General purpose,,64 GiB,16 vCPUs,EBS only,Up to 25 Gigabit,$0.952 hourly,$0.60 hourly,$0.3182 hourly,$1.688 hourly,$1.336 hourly
M5N Eight Extra Large,m5n.8xlarge,,General purpose,,128 GiB,32 vCPUs,EBS only,25 Gigabit,$1.904 hourly,$1.20 hourly,$0.8819 hourly,$3.376 hourly,$2.672 hourly
M5N Large,m5n.large,,General purpose,,8 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.119 hourly,$0.075 hourly,$0.0411 hourly,$0.211 hourly,$0.167 hourly
M5N Metal,m5n.metal,,General purpose,,384 GiB,96 vCPUs,EBS only,100 Gigabit,$5.712 hourly,$3.599 hourly,$1.5137 hourly,$10.128 hourly,$8.015 hourly
M5N Extra Large,m5n.xlarge,,General purpose,,16 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,$0.238 hourly,$0.15 hourly,$0.0838 hourly,$0.422 hourly,$0.334 hourly
M5ZN 12xlarge Extra Large,m5zn.12xlarge,"932,355.655",General purpose,200.0 fps,192 GiB,48 vCPUs,EBS only,100 Gigabit,$3.9641 hourly,$2.4974 hourly,$1.962 hourly,$6.1721 hourly,$4.7054 hourly
M5ZN Double Extra Large,m5zn.2xlarge,"163,926.028",General purpose,53.0 fps,32 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.6607 hourly,$0.4162 hourly,$0.3473 hourly,$1.0287 hourly,$0.7842 hourly
M5ZN 3xlarge,m5zn.3xlarge,"252,711.383",General purpose,78.0 fps,48 GiB,12 vCPUs,EBS only,Up to 25 Gigabit,$0.991 hourly,$0.6243 hourly,$0.5169 hourly,$1.543 hourly,$1.1763 hourly
M5ZN 6xlarge,m5zn.6xlarge,"500,913.123",General purpose,145.0 fps,96 GiB,24 vCPUs,EBS only,50 Gigabit,$1.982 hourly,$1.2487 hourly,$1.0545 hourly,$3.086 hourly,$2.3527 hourly
M5ZN Large,m5zn.large,"39,037.72",General purpose,14.0 fps,8 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.1652 hourly,$0.1041 hourly,$0.0577 hourly,$0.2572 hourly,$0.1961 hourly
M5ZN Metal,m5zn.metal,"1,015,228.426",General purpose,132.0 fps,192 GiB,48 vCPUs,EBS only,100 Gigabit,$3.9641 hourly,$2.4974 hourly,$1.3826 hourly,$6.1721 hourly,$4.7054 hourly
M5ZN Extra Large,m5zn.xlarge,"82,402.019",General purpose,28.0 fps,16 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,$0.3303 hourly,$0.2081 hourly,$0.152 hourly,$0.5143 hourly,$0.3921 hourly
M6A 12xlarge Extra Large,m6a.12xlarge,"1,009,410.651",General purpose,211.0 fps,192 GiB,48 vCPUs,EBS only,18.75 Gigabit,$2.0736 hourly,$1.3717 hourly,$0.8441 hourly,$4.2816 hourly,$3.5797 hourly
M6A 16xlarge Extra Large,m6a.16xlarge,"1,416,948.027",General purpose,227.0 fps,256 GiB,64 vCPUs,EBS only,25 Gigabit,$2.7648 hourly,$1.8289 hourly,$1.096 hourly,$5.7088 hourly,$4.7729 hourly
M6A 24xlarge,m6a.24xlarge,"1,807,143.866",General purpose,240.0 fps,384 GiB,96 vCPUs,EBS only,37.5 Gigabit,$4.1472 hourly,$2.7434 hourly,$1.485 hourly,$8.5632 hourly,$7.1594 hourly
M6A Double Extra Large,m6a.2xlarge,"169,106.378",General purpose,66.0 fps,32 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.3456 hourly,$0.2286 hourly,$0.1848 hourly,$0.7136 hourly,$0.5966 hourly
